,Open,High,Low,Close,Profitable
149,332.239990234375,332.95001220703125,331.1700134277344,331.3399963378906,0.0
150,131.0800018310547,131.27999877929688,129.6300048828125,130.61000061035156,0.0
151,112.63999938964844,113.7699966430664,109.41000366210938,111.26000213623047,0.0
152,152.6999969482422,153.16000366210938,152.3800048828125,152.4199981689453,0.0
153,104.91000366210938,105.13999938964844,104.04000091552734,104.93000030517578,0.0
154,204.9600067138672,207.33999633789062,204.88999938964844,206.77999877929688,0.0
155,467.2200012207031,469.1000061035156,464.45001220703125,468.19000244140625,0.0
156,432.3699951171875,439.7200012207031,431.57000732421875,437.8900146484375,0.0
157,112.6500015258789,113.30000305175781,110.7699966430664,110.7699966430664,0.0
158,247.97999572753906,257.6600036621094,243.89999389648438,246.14999389648438,0.0
159,394.3299865722656,396.69000244140625,392.0299987792969,396.4100036621094,0.0
160,422.57000732421875,422.7200012207031,419.20001220703125,419.6700134277344,0.0
161,213.13999938964844,213.92999267578125,211.7100067138672,212.5399932861328,0.0
162,114.06999969482422,117.63999938964844,110.2699966430664,117.4800033569336,0.0
163,108.72000122070312,109.41999816894531,107.41999816894531,109.30999755859375,0.0
164,117.48999786376953,117.55000305175781,116.61000061035156,117.43000030517578,0.0
165,132.0,133.1875,131.515625,132.84375,0.0
166,392.1199951171875,392.2799987792969,387.5,390.0799865722656,0.0
167,129.97000122070312,132.02999877929688,129.92999267578125,131.97000122070312,0.0
168,117.73999786376953,118.66999816894531,117.30999755859375,118.27999877929688,0.0
169,130.0500030517578,132.91000366210938,129.25999450683594,132.0800018310547,0.0
170,82.81999969482422,85.12999725341797,82.75,85.05999755859375,0.0
171,127.33999633789062,128.5500030517578,127.1500015258789,128.4199981689453,0.0
172,210.72999572753906,211.27999877929688,210.0399932861328,210.61000061035156,0.0
173,148.3300018310547,149.1300048828125,147.97999572753906,149.1300048828125,0.0
174,88.31999969482422,89.73999786376953,87.44999694824219,89.05000305175781,0.0
175,132.25,132.77000427246094,132.05999755859375,132.50999450683594,0.0
176,129.08999633789062,129.74000549316406,128.10000610351562,129.74000549316406,0.0
177,276.3599853515625,277.4100036621094,276.1300048828125,277.3699951171875,0.0
178,394.4200134277344,395.45001220703125,393.0199890136719,394.7300109863281,0.0
179,424.8900146484375,425.54998779296875,424.6199951171875,425.1000061035156,0.0
180,192.19000244140625,192.8000030517578,192.02999877929688,192.67999267578125,0.0
181,140.0,141.21875,137.25,140.03125,0.0
182,282.1600036621094,283.5,280.32000732421875,281.54998779296875,0.0
183,341.82000732421875,342.5299987792969,332.8500061035156,333.8900146484375,0.0
184,149.22000122070312,149.39999389648438,146.77999877929688,147.6699981689453,0.0
185,115.22000122070312,115.26000213623047,114.16999816894531,114.58999633789062,0.0
186,320.2200012207031,323.4100036621094,319.6300048828125,323.20001220703125,0.0
187,164.36000061035156,166.0,163.2100067138672,163.3300018310547,0.0
188,144.9199981689453,145.14999389648438,143.8300018310547,144.5,0.0
189,128.7899932861328,129.16000366210938,125.94999694824219,126.18000030517578,0.0
190,217.0399932861328,218.27999877929688,216.8000030517578,218.27999877929688,0.0
191,141.0500030517578,141.61000061035156,140.41000366210938,140.8300018310547,0.0
192,209.6999969482422,210.25,208.8000030517578,209.3800048828125,0.0
193,141.3000030517578,141.83999633789062,140.38999938964844,141.35000610351562,0.0
194,440.2300109863281,443.7099914550781,439.7099914550781,443.3599853515625,0.0
195,103.38999938964844,103.94999694824219,102.58999633789062,102.95999908447266,0.0
196,118.20999908447266,118.81999969482422,118.01000213623047,118.79000091552734,0.0
197,125.55999755859375,126.5199966430664,125.41999816894531,126.30000305175781,0.0
198,111.73999786376953,112.19000244140625,110.7300033569336,111.2300033569336,0.0
199,292.1199951171875,292.7799987792969,290.7300109863281,292.04998779296875,0.0
200,195.19000244140625,195.85000610351562,191.5800018310547,191.9199981689453,0.0
201,186.41000366210938,188.33999633789062,185.1199951171875,185.27000427246094,0.0
202,184.17999267578125,184.49000549316406,183.64999389648438,184.24000549316406,0.0
203,170.72000122070312,172.16000366210938,170.63999938964844,172.07000732421875,0.0
204,119.5999984741211,120.4800033569336,119.45999908447266,120.38999938964844,0.0
205,131.7100067138672,132.4499969482422,130.33999633789062,131.47000122070312,0.0
206,245.97999572753906,251.2100067138672,245.9499969482422,250.17999267578125,0.0
207,133.46875,133.625,129.1875,129.1875,0.0
208,277.1499938964844,278.0400085449219,276.5199890136719,276.8599853515625,0.0
209,451.0400085449219,451.489990234375,445.30999755859375,445.44000244140625,0.0
210,197.0500030517578,197.47999572753906,196.9600067138672,197.22999572753906,0.0
